title,description,priority
"Data loss risk in database migration, must fix today","On-call was paged, this cannot wait until next sprint.",high
"Security vulnerability found in notification worker, fix ASAP",This is blocking all customers and needs to be fixed immediately.,high
Production incident: user profile throwing 500s for all users,This is blocking all customers and needs to be fixed immediately.,high
Minor typo in cache layer docs,"No rush, whenever someone has spare time.",low
search endpoint needs better error messages,"Came up in code review, moderate impact.",medium
Rename variable in login page,"Purely cosmetic, doesn't affect functionality.",low
Improve user profile performance,Would be good to land before the next release.,medium
Investigate flaky test in API rate limiter,"Should be done this sprint, not blocking anyone yet.",medium
Clean up unused imports in CSV importer,"Low priority cleanup, no user impact.",low
Refactor billing webhook before next release,"Should be done this sprint, not blocking anyone yet.",medium
"Critical bug in login page, customers are blocked",This is blocking all customers and needs to be fixed immediately.,high
Rename variable in database migration,"No rush, whenever someone has spare time.",low
admin panel outage - needs immediate attention,This is blocking all customers and needs to be fixed immediately.,high
Investigate flaky test in search endpoint,"Came up in code review, moderate impact.",medium
Cosmetic tweak to admin panel spacing,"Someday/maybe, not tied to any deadline.",low
Improve auth middleware performance,Would be good to land before the next release.,medium
PDF export outage - needs immediate attention,"Escalated by support, affects every account on the platform.",high
Nice-to-have: dark mode for database migration,"Purely cosmetic, doesn't affect functionality.",low
"Security vulnerability found in admin panel, fix ASAP",This is blocking all customers and needs to be fixed immediately.,high
"Data loss risk in notification worker, must fix today","Escalated by support, affects every account on the platform.",high
Consider refactoring checkout flow someday,"Someday/maybe, not tied to any deadline.",low
Nice-to-have: dark mode for CSV importer,"Someday/maybe, not tied to any deadline.",low
Rename variable in cache layer,"No rush, whenever someone has spare time.",low
Minor typo in user profile docs,"No rush, whenever someone has spare time.",low
Refactor email service before next release,Would be good to land before the next release.,medium
Clean up unused imports in user profile,"Low priority cleanup, no user impact.",low
"Critical bug in billing webhook, customers are blocked","Escalated by support, affects every account on the platform.",high
Rename variable in billing webhook,"Purely cosmetic, doesn't affect functionality.",low
Improve notification worker performance,"Should be done this sprint, not blocking anyone yet.",medium
Update dashboard chart to handle an edge case,No customers affected yet but worth prioritizing soon.,medium
